Model,MAE,MSE,R2
LinearRegression,82657.94605891762,10549721686.157969,0.9146454505138175
RobustRegression,199465.55955429265,61664910393.24929,0.5010881990728193
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,83413.36432593774,10664698561.208473,0.9137152080237108
SGDRegressor,5.4523797643358765e+17,4.2241651605006844e+35,-3.4176419526103206e+24
ANN,199489.25549395915,61514650388.63508,0.5023039064991551
RandomForest,97874.4935008335,14878429094.092382,0.8796232118564203
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
